# x_m,y_m,w_tr_right_m,w_tr_left_m
84.31897253811283,-217.8843573505174,5.0334072547084805,4.930528017665992
84.00265264190301,-220.86645617895033,5.037809535609137,4.935495225563817
83.68630980609022,-223.84855829960009,5.041813706785246,4.940484735553393
83.36994653156803,-226.8306638314305,5.045486754491579,4.94563594682297
83.05356531923005,-229.8127728934055,5.0473563601431986,4.952457362073533
82.73716866996979,-232.7948856044888,5.048863863477332,4.959449880627058
82.42075908468084,-235.77700208364408,5.050061584846596,4.966496742409947
82.10433906425683,-238.75912244983527,5.0497843630650125,4.9744266125428345
81.78791110959126,-241.74124682202617,5.049152893748021,4.982425099958738
81.47147772157777,-244.72337531918055,5.048109902245853,4.990398320050172
81.15504140110993,-247.70550806026225,5.045824946432192,4.998280985964255
80.83860464908126,-250.68764516423505,5.043341665337827,5.0061493847278005
80.52216996638546,-253.6697867500628,5.04005424682921,5.013303143197881
80.20573985391596,-256.6519329367092,5.035849398709138,5.019634973366937
79.8893168125664,-259.634083843138,5.031417940521215,5.025713591260348
79.57290334323037,-262.6162395883132,5.02610392639742,5.030842830048451
79.25650194680145,-265.59840029119846,5.020645722790276,5.035729240204979
78.9401151241732,-268.5805660707577,5.014929135097862,5.040017136214124
78.62374537623917,-271.5627370459546,5.009195210751572,5.044109875857668
78.30739520389298,-274.54491333575305,5.004030045973455,5.048038721453773
77.99106710802819,-277.5270950591167,4.999122996563089,5.051972530571232
77.67476358953839,-280.5092823350096,4.995693605951522,5.056363470100598
77.35848714931716,-283.4914752823953,4.9925984447368865,5.060896130962006
77.04224028825804,-286.4736740202378,4.990636764616078,5.0661172101821546
76.72602550725462,-289.4558786675007,4.988953559094962,5.071592151053279
76.40984530720051,-292.4380893431481,4.988076776594357,5.0780327034152215
76.09370218898925,-295.4203061661436,4.987420448329342,5.084889347004382
75.77759865351446,-298.4025292554509,4.987252376828085,5.092846438012647
75.46153720166964,-301.38475873003404,4.98722816623938,5.101464655548001
75.14552033434845,-304.36699470885657,4.987424144470793,5.111283754483819
74.82955055244442,-307.3492373108826,4.987639561991872,5.1212445985476265
74.51363035685112,-310.33148665507565,4.987869151956997,5.131398738375595
74.19776224846217,-313.3137428603996,4.987994706917841,5.141007498305794
73.88194872817112,-316.29600604581844,4.988001742898515,5.149993510103107
73.56619229687152,-319.2782763302957,4.987834684932595,5.158062011328301
73.25049545545701,-322.2605538327952,4.987374033440085,5.164737115153592
72.9348607048211,-325.24283867228104,4.986805039931145,5.170621952891781
72.61929054585742,-328.2251309677168,4.9858285684315895,5.1743830193795946
72.30378747945953,-331.2074308380663,4.984830089708265,5.177743522371435
71.98835400652098,-334.1897384022932,4.983465585011939,5.179896693197164
71.6729926279354,-337.1720537793616,4.98194640921401,5.181375342648331
71.35770584459628,-340.154377088235,4.980337717331184,5.182576906522835
71.04249615739734,-343.13670844787754,4.978317745172494,5.183093385109027
70.727366067232,-346.1190479772527,4.976302933409045,5.183434963501482
70.4123180749939,-349.10139579532444,4.974026547895872,5.183610095175567
70.09735468157668,-352.0837520210566,4.971398207044827,5.183593247416355
69.78247838787381,-355.0661167734129,4.968821988731124,5.183485649448456
69.46769169477895,-358.0484901713572,4.965788392277878,5.183642023501864
69.15299710318561,-361.03087233385304,4.962526871653754,5.183884644581278
68.83839711398743,-364.0132633798647,4.959329601548865,5.184035414078036
68.52389422807794,-366.9956634283556,4.9560396850950035,5.184230904792735
68.20949094635074,-369.97807259828977,4.952795932067808,5.184342784105746
67.89518976969939,-372.9604910086308,4.949708657728584,5.184314952258253
67.58099319901748,-375.9429187783426,4.9470012936363785,5.184079135638035
67.26690373519861,-378.92535602638907,4.944400775964533,5.18372311387968
66.9529238791363,-381.90780287173374,4.942298934917594,5.1830503230089695
66.63905613172417,-384.8902594333408,4.940866178813076,5.181960859518777
