# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
3525.0; 123.390; 0.801; 1.095; 1.356
3528.0; 123.547; 0.797; 1.108; 1.365
3531.0; 123.703; 0.794; 1.093; 1.351
3534.0; 123.858; 0.791; 1.058; 1.321
3537.0; 124.012; 0.788; 1.011; 1.282
3540.0; 124.166; 0.786; 0.956; 1.238
3543.0; 124.318; 0.784; 0.897; 1.191
3546.0; 124.469; 0.782; 0.836; 1.145
3549.0; 124.620; 0.779; 0.776; 1.100
3552.0; 124.769; 0.777; 0.717; 1.057
3555.0; 124.918; 0.774; 0.661; 1.018
3558.0; 125.066; 0.771; 0.608; 0.982
3561.0; 125.213; 0.768; 0.557; 0.949
3564.0; 125.359; 0.765; 0.511; 0.920
3567.0; 125.505; 0.762; 0.467; 0.894
3570.0; 125.650; 0.759; 0.427; 0.871
3573.0; 125.794; 0.756; 0.390; 0.851
3576.0; 125.937; 0.753; 0.355; 0.833
3579.0; 126.080; 0.750; 0.324; 0.817
3582.0; 126.222; 0.747; 0.295; 0.803
3585.0; 126.363; 0.743; 0.269; 0.790
3588.0; 126.504; 0.740; 0.245; 0.780
3591.0; 126.644; 0.737; 0.223; 0.770
3594.0; 126.783; 0.733; 0.203; 0.761
3597.0; 126.921; 0.730; 0.185; 0.753
3600.0; 127.059; 0.727; 0.169; 0.746
3603.0; 127.197; 0.723; 0.154; 0.740
3606.0; 127.333; 0.720; 0.141; 0.734
3609.0; 127.470; 0.717; 0.129; 0.728
3612.0; 127.605; 0.714; 0.118; 0.723
3615.0; 127.740; 0.710; 0.108; 0.719
3618.0; 127.874; 0.707; 0.099; 0.714
3621.0; 128.008; 0.704; 0.092; 0.710
3624.0; 128.141; 0.701; 0.085; 0.706
3627.0; 128.274; 0.697; 0.079; 0.702
3630.0; 128.406; 0.694; 0.074; 0.698
3633.0; 128.538; 0.691; 0.070; 0.695
3636.0; 128.669; 0.688; 0.067; 0.691
3639.0; 128.800; 0.685; 0.065; 0.688
3642.0; 128.930; 0.682; 0.064; 0.685
3645.0; 129.059; 0.678; 0.063; 0.681
3648.0; 129.188; 0.675; 0.064; 0.678
3651.0; 129.317; 0.672; 0.066; 0.675
3654.0; 129.445; 0.669; 0.070; 0.673
3657.0; 129.573; 0.666; 0.075; 0.670
3660.0; 129.700; 0.663; 0.081; 0.668
3663.0; 129.827; 0.660; 0.089; 0.666
3666.0; 129.953; 0.657; 0.100; 0.664
3669.0; 130.079; 0.654; 0.113; 0.663
3672.0; 130.204; 0.651; 0.128; 0.663
3675.0; 130.329; 0.648; 0.146; 0.664
3678.0; 130.454; 0.645; 0.168; 0.666
3681.0; 130.578; 0.642; 0.193; 0.670
3684.0; 130.702; 0.639; 0.222; 0.676
3687.0; 130.825; 0.636; 0.256; 0.685
3690.0; 130.948; 0.632; 0.294; 0.697
3693.0; 131.071; 0.629; 0.336; 0.714
3696.0; 131.193; 0.626; 0.383; 0.734
3699.0; 131.315; 0.623; 0.435; 0.760
3702.0; 131.436; 0.620; 0.490; 0.790
3705.0; 131.557; 0.616; 0.549; 0.825
3708.0; 131.678; 0.613; 0.608; 0.863
3711.0; 131.798; 0.610; 0.667; 0.903
3714.0; 131.918; 0.606; 0.721; 0.942
3717.0; 132.038; 0.603; 0.768; 0.976
3720.0; 132.157; 0.600; 0.801; 1.001
3723.0; 132.276; 0.597; 0.814; 1.009
3726.0; 132.395; 0.594; 0.798; 0.995
3729.0; 132.513; 0.592; 0.744; 0.951
3732.0; 132.631; 0.591; 0.637; 0.869
3735.0; 132.749; 0.589; 0.464; 0.750
3738.0; 132.866; 0.588; 0.206; 0.623
3741.0; 132.983; 0.585; -0.155; 0.606
3744.0; 133.100; 0.580; -0.640; 0.864
3747.0; 133.217; 0.568; -1.270; 1.391
3750.0; 133.333; 0.546; -2.059; 2.130
3753.0; 133.449; 0.508; -3.008; 3.050
3756.0; 133.564; 0.445; -4.091; 4.116
3759.0; 133.680; 0.354; -5.232; 5.244
3762.0; 133.796; 0.247; -6.198; 6.203
3765.0; 133.912; 0.150; -6.825; 6.827
3768.0; 134.028; 0.077; -7.160; 7.160
3771.0; 134.145; 0.027; -7.315; 7.315
3774.0; 134.263; -0.005; -7.381; 7.381
3777.0; 134.380; -0.027; -7.407; 7.408
3780.0; 134.497; -0.755; -7.453; 7.491
3783.0; 134.615; -1.265; -7.477; 7.584
3786.0; 134.733; -1.266; -7.470; 7.577
3789.0; 134.851; -1.264; -7.463; 7.569
3792.0; 134.969; -1.262; -7.456; 7.562
3795.0; 135.087; -0.779; -7.425; 7.466
3798.0; 135.204; -0.037; -7.384; 7.384
3801.0; 135.320; -0.038; -7.386; 7.386
3804.0; 135.436; -0.038; -7.388; 7.388
3807.0; 135.551; -0.038; -7.389; 7.389
3810.0; 135.665; -0.037; -7.389; 7.389
3813.0; 135.780; -0.037; -7.390; 7.390
3816.0; 135.894; -0.036; -7.390; 7.390
3819.0; 136.008; -0.035; -7.390; 7.390
3822.0; 136.122; -0.035; -7.390; 7.390
3825.0; 136.236; -0.034; -7.390; 7.390
3828.0; 136.349; -0.033; -7.390; 7.390
3831.0; 136.463; -0.032; -7.390; 7.390
3834.0; 136.576; -0.031; -7.390; 7.390
3837.0; 136.689; -0.030; -7.390; 7.390
3840.0; 136.801; -0.029; -7.389; 7.389
3843.0; 136.914; -0.027; -7.389; 7.389
3846.0; 137.026; -0.025; -7.388; 7.388
3849.0; 137.138; -0.023; -7.387; 7.387
3852.0; 137.251; -0.021; -7.386; 7.386
3855.0; 137.363; -0.018; -7.385; 7.385
3858.0; 137.476; -0.016; -7.383; 7.383
3861.0; 137.589; -0.013; -7.381; 7.381
3864.0; 137.702; -0.011; -7.379; 7.379
3867.0; 137.816; -0.008; -7.376; 7.376
3870.0; 137.930; -0.004; -7.373; 7.373
3873.0; 138.044; -0.001; -7.369; 7.369
3876.0; 138.158; 0.003; -7.364; 7.364
3879.0; 138.273; 0.007; -7.358; 7.358
3882.0; 138.389; 0.012; -7.351; 7.351
3885.0; 138.505; 0.018; -7.342; 7.342
3888.0; 138.621; 0.024; -7.330; 7.330
3891.0; 138.738; 0.031; -7.315; 7.315
3894.0; 138.856; 0.040; -7.295; 7.295
3897.0; 138.974; 0.052; -7.267; 7.267
3900.0; 139.093; 0.066; -7.226; 7.226
3903.0; 139.212; 0.084; -7.166; 7.166
3906.0; 139.331; 0.108; -7.073; 7.074
3909.0; 139.449; 0.141; -6.927; 6.929
3912.0; 139.567; 0.184; -6.695; 6.697
3915.0; 139.685; 0.239; -6.330; 6.335
3918.0; 139.802; 0.305; -5.781; 5.789
3921.0; 139.918; 0.378; -5.018; 5.033
3924.0; 140.035; 0.447; -4.070; 4.094
3927.0; 140.150; 0.502; -3.047; 3.088
3930.0; 140.265; 0.535; -2.144; 2.209
3933.0; 140.380; 0.550; -1.471; 1.571
3936.0; 140.494; 0.556; -0.977; 1.124
3939.0; 140.608; 0.558; -0.616; 0.831
3942.0; 140.722; 0.557; -0.355; 0.661
3945.0; 140.835; 0.555; -0.167; 0.580
3948.0; 140.949; 0.553; -0.034; 0.554
3951.0; 141.062; 0.550; 0.059; 0.554
3954.0; 141.174; 0.548; 0.122; 0.561
3957.0; 141.287; 0.545; 0.164; 0.569
3960.0; 141.399; 0.543; 0.190; 0.575
3963.0; 141.511; 0.540; 0.204; 0.577
3966.0; 141.623; 0.538; 0.210; 0.577
3969.0; 141.734; 0.535; 0.211; 0.575
3972.0; 141.846; 0.533; 0.207; 0.572
3975.0; 141.957; 0.530; 0.201; 0.567
3978.0; 142.068; 0.528; 0.192; 0.562
3981.0; 142.178; 0.525; 0.183; 0.557
3984.0; 142.289; 0.523; 0.174; 0.551
3987.0; 142.399; 0.521; 0.164; 0.546
3990.0; 142.509; 0.518; 0.155; 0.541
3993.0; 142.619; 0.516; 0.146; 0.536
3996.0; 142.728; 0.514; 0.138; 0.532
3999.0; 142.838; 0.511; 0.131; 0.528
4002.0; 142.947; 0.509; 0.125; 0.524
4005.0; 143.056; 0.507; 0.121; 0.521
4008.0; 143.164; 0.504; 0.118; 0.518
4011.0; 143.273; 0.502; 0.116; 0.515
4014.0; 143.381; 0.500; 0.117; 0.513
4017.0; 143.489; 0.497; 0.120; 0.512
4020.0; 143.596; 0.495; 0.126; 0.511
4023.0; 143.704; 0.493; 0.134; 0.511
4026.0; 143.811; 0.490; 0.146; 0.512
4029.0; 143.919; 0.488; 0.161; 0.514
4032.0; 144.025; 0.486; 0.181; 0.519
4035.0; 144.132; 0.484; 0.206; 0.526
4038.0; 144.239; 0.481; 0.237; 0.536
4041.0; 144.345; 0.479; 0.273; 0.551
4044.0; 144.451; 0.477; 0.317; 0.572
4047.0; 144.557; 0.474; 0.367; 0.600
4050.0; 144.663; 0.472; 0.426; 0.635
4053.0; 144.769; 0.469; 0.492; 0.680
4056.0; 144.874; 0.466; 0.567; 0.734
4059.0; 144.979; 0.464; 0.649; 0.798
4062.0; 145.084; 0.461; 0.738; 0.870
4065.0; 145.189; 0.458; 0.834; 0.951
4068.0; 145.294; 0.454; 0.933; 1.037
4071.0; 145.398; 0.451; 1.032; 1.127
4074.0; 145.503; 0.448; 1.129; 1.214
4077.0; 145.607; 0.444; 1.217; 1.296
4080.0; 145.711; 0.441; 1.291; 1.364
4083.0; 145.815; 0.438; 1.342; 1.412
4086.0; 145.919; 0.436; 1.360; 1.429
4089.0; 146.022; 0.435; 1.335; 1.404
4092.0; 146.126; 0.434; 1.253; 1.326
4095.0; 146.229; 0.434; 1.098; 1.180
4098.0; 146.332; 0.435; 0.853; 0.958
4101.0; 146.435; 0.436; 0.501; 0.664
4104.0; 146.537; 0.435; 0.022; 0.436
4107.0; 146.640; -2.317; -0.597; 2.393
4110.0; 146.745; -6.461; -1.338; 6.598
4113.0; 146.853; -9.243; -2.163; 9.493
4116.0; 146.964; -8.572; -3.064; 9.103
4119.0; 147.080; -7.604; -4.190; 8.682
4122.0; 147.199; -6.214; -5.507; 8.303
4125.0; 147.323; -4.836; -6.496; 8.098
4128.0; 147.449; -3.967; -6.964; 8.014
4131.0; 147.579; -3.579; -7.120; 7.969
4134.0; 147.712; -3.446; -7.148; 7.935
4137.0; 147.847; -1.205; -7.299; 7.398
4140.0; 147.984; -1.216; -7.311; 7.412
4143.0; 148.121; 0.003; -7.251; 7.251
4146.0; 148.258; 0.000; -7.256; 7.256
4149.0; 148.392; 0.000; -7.259; 7.259
4152.0; 148.522; 0.001; -7.261; 7.261
4155.0; 148.649; 0.002; -7.261; 7.261
4158.0; 148.772; 0.004; -7.262; 7.262
4161.0; 148.892; 0.005; -7.262; 7.262
4164.0; 149.012; 0.007; -7.262; 7.262
4167.0; 149.131; 0.009; -7.262; 7.262
4170.0; 149.252; 0.012; -7.261; 7.261
4173.0; 149.375; 0.016; -7.260; 7.260
4176.0; 149.501; 0.020; -7.258; 7.258
4179.0; 149.630; 0.025; -7.255; 7.255
4182.0; 149.761; 0.032; -7.249; 7.249
4185.0; 149.894; 0.039; -7.241; 7.241
4188.0; 150.028; 0.050; -7.228; 7.228
4191.0; 150.162; 0.064; -7.204; 7.204
4194.0; 150.297; 0.086; -7.158; 7.158
4197.0; 150.431; 0.123; -7.058; 7.059
4200.0; 150.564; 0.184; -6.826; 6.828
4203.0; 150.695; 0.284; -6.290; 6.296
4206.0; 150.826; 0.422; -5.224; 5.241
4209.0; 150.954; 0.555; -3.689; 3.731
4212.0; 151.082; 0.630; -2.278; 2.364
4215.0; 151.210; 0.658; -1.360; 1.511
4218.0; 151.337; 0.667; -0.765; 1.015
4221.0; 151.465; 0.668; -0.382; 0.769
4224.0; 151.592; 0.666; -0.138; 0.680
4227.0; 151.719; 0.663; 0.017; 0.663
4230.0; 151.846; 0.660; 0.112; 0.669
4233.0; 151.972; 0.656; 0.169; 0.678
4236.0; 152.099; 0.653; 0.201; 0.684
4239.0; 152.224; 0.650; 0.217; 0.686
4242.0; 152.350; 0.647; 0.223; 0.685
4245.0; 152.474; 0.644; 0.223; 0.682
4248.0; 152.599; 0.641; 0.219; 0.678
4251.0; 152.722; 0.638; 0.212; 0.673
4254.0; 152.846; 0.635; 0.205; 0.668
4257.0; 152.969; 0.633; 0.196; 0.662
4260.0; 153.091; 0.630; 0.188; 0.657
4263.0; 153.214; 0.627; 0.180; 0.652
4266.0; 153.335; 0.624; 0.171; 0.647
4269.0; 153.457; 0.621; 0.163; 0.642
4272.0; 153.578; 0.618; 0.156; 0.638
4275.0; 153.699; 0.615; 0.149; 0.633
4278.0; 153.819; 0.613; 0.142; 0.629
4281.0; 153.939; 0.610; 0.135; 0.625
4284.0; 154.059; 0.607; 0.129; 0.621
4287.0; 154.178; 0.604; 0.124; 0.617
4290.0; 154.297; 0.601; 0.118; 0.613
4293.0; 154.415; 0.599; 0.114; 0.609
4296.0; 154.534; 0.596; 0.109; 0.606
4299.0; 154.652; 0.593; 0.105; 0.602
4302.0; 154.769; 0.591; 0.101; 0.599
4305.0; 154.886; 0.588; 0.097; 0.596
4308.0; 155.003; 0.585; 0.093; 0.593
4311.0; 155.120; 0.582; 0.090; 0.589
4314.0; 155.236; 0.580; 0.087; 0.586
4317.0; 155.352; 0.577; 0.085; 0.583
4320.0; 155.468; 0.574; 0.082; 0.580
4323.0; 155.584; 0.572; 0.080; 0.577
4326.0; 155.699; 0.569; 0.078; 0.575
4329.0; 155.814; 0.567; 0.077; 0.572
4332.0; 155.928; 0.564; 0.075; 0.569
4335.0; 156.043; 0.561; 0.074; 0.566
4338.0; 156.157; 0.559; 0.073; 0.563
4341.0; 156.270; 0.556; 0.072; 0.561
4344.0; 156.384; 0.554; 0.071; 0.558
4347.0; 156.497; 0.551; 0.071; 0.556
4350.0; 156.610; 0.549; 0.071; 0.553
4353.0; 156.723; 0.546; 0.070; 0.551
4356.0; 156.835; 0.544; 0.071; 0.548
4359.0; 156.947; 0.541; 0.071; 0.546
4362.0; 157.059; 0.539; 0.072; 0.543
4365.0; 157.171; 0.536; 0.072; 0.541
4368.0; 157.282; 0.534; 0.073; 0.539
4371.0; 157.393; 0.531; 0.075; 0.536
4374.0; 157.504; 0.529; 0.076; 0.534
4377.0; 157.615; 0.526; 0.078; 0.532
4380.0; 157.725; 0.524; 0.079; 0.530
4383.0; 157.836; 0.521; 0.082; 0.528
4386.0; 157.946; 0.519; 0.084; 0.526
4389.0; 158.055; 0.517; 0.086; 0.524
4392.0; 158.165; 0.514; 0.089; 0.522
4395.0; 158.274; 0.512; 0.092; 0.520
4398.0; 158.383; 0.510; 0.096; 0.518
4401.0; 158.492; 0.507; 0.099; 0.517
4404.0; 158.601; 0.505; 0.103; 0.515
4407.0; 158.709; 0.503; 0.107; 0.514
4410.0; 158.817; 0.500; 0.112; 0.513
4413.0; 158.925; 0.498; 0.117; 0.511
4416.0; 159.033; 0.496; 0.122; 0.510
4419.0; 159.141; 0.493; 0.128; 0.510
4422.0; 159.248; 0.491; 0.134; 0.509
4425.0; 159.355; 0.489; 0.140; 0.508
4428.0; 159.462; 0.487; 0.147; 0.508
4431.0; 159.569; 0.484; 0.154; 0.508
4434.0; 159.676; 0.482; 0.161; 0.508
4437.0; 159.782; 0.480; 0.169; 0.509
4440.0; 159.888; 0.478; 0.178; 0.510
4443.0; 159.994; 0.475; 0.187; 0.511
4446.0; 160.100; 0.473; 0.197; 0.512
4449.0; 160.206; 0.471; 0.207; 0.514
4452.0; 160.311; 0.469; 0.217; 0.517
4455.0; 160.416; 0.467; 0.229; 0.520
4458.0; 160.522; 0.464; 0.241; 0.523
4461.0; 160.626; 0.462; 0.254; 0.527
4464.0; 160.731; 0.460; 0.267; 0.532
4467.0; 160.836; 0.458; 0.282; 0.538
4470.0; 160.940; 0.456; 0.297; 0.544
4473.0; 161.044; 0.454; 0.313; 0.551
4476.0; 161.148; 0.451; 0.329; 0.559
4479.0; 161.252; 0.449; 0.347; 0.568
4482.0; 161.356; 0.447; 0.366; 0.578
4485.0; 161.460; 0.445; 0.386; 0.589
4488.0; 161.563; 0.443; 0.407; 0.601
4491.0; 161.666; 0.441; 0.429; 0.615
4494.0; 161.769; 0.439; 0.453; 0.630
4497.0; 161.872; 0.436; 0.477; 0.647
4500.0; 161.975; 0.434; 0.503; 0.665
4503.0; 162.077; 0.432; 0.531; 0.684
4506.0; 162.180; 0.430; 0.560; 0.706
4509.0; 162.282; 0.428; 0.590; 0.729
4512.0; 162.384; 0.425; 0.623; 0.754
4515.0; 162.485; 0.423; 0.657; 0.781
4518.0; 162.587; 0.421; 0.693; 0.811
4521.0; 162.689; 0.419; 0.730; 0.842
4524.0; 162.790; 0.416; 0.770; 0.876
4527.0; 162.891; 0.414; 0.812; 0.912
4530.0; 162.992; 0.412; 0.856; 0.950
4533.0; 163.093; 0.409; 0.903; 0.991
4536.0; 163.193; 0.407; 0.951; 1.035
4539.0; 163.294; 0.405; 1.002; 1.081
4542.0; 163.394; 0.402; 1.056; 1.130
4545.0; 163.494; 0.400; 1.111; 1.181
4548.0; 163.594; 0.397; 1.168; 1.234
4551.0; 163.694; 0.394; 1.227; 1.289
4554.0; 163.794; 0.392; 1.286; 1.344
4557.0; 163.894; 0.389; 1.343; 1.399
4560.0; 163.993; 0.386; 1.397; 1.449
4563.0; 164.093; 0.384; 1.442; 1.492
4566.0; 164.192; 0.382; 1.473; 1.521
4569.0; 164.291; 0.380; 1.479; 1.527
4572.0; 164.390; 0.378; 1.459; 1.507
4575.0; 164.489; 0.377; 1.423; 1.472
4578.0; 164.588; 0.376; 1.377; 1.428
4581.0; 164.687; 0.375; 1.326; 1.378
4584.0; 164.785; 0.375; 1.273; 1.327
4587.0; 164.884; 0.374; 1.219; 1.275
4590.0; 164.982; 0.373; 1.166; 1.224
4593.0; 165.080; 0.372; 1.114; 1.174
4596.0; 165.178; 0.371; 1.063; 1.126
4599.0; 165.276; 0.369; 1.015; 1.080
4602.0; 165.374; 0.368; 0.968; 1.036
4605.0; 165.472; 0.367; 0.923; 0.993
4608.0; 165.570; 0.366; 0.880; 0.953
4611.0; 165.667; 0.365; 0.839; 0.915
4614.0; 165.765; 0.363; 0.800; 0.879
4617.0; 165.862; 0.362; 0.763; 0.844
4620.0; 165.960; 0.361; 0.727; 0.811
4623.0; 166.057; 0.359; 0.693; 0.780
4626.0; 166.154; 0.358; 0.660; 0.751
4629.0; 166.251; 0.356; 0.629; 0.723
4632.0; 166.348; 0.355; 0.600; 0.697
4635.0; 166.445; 0.354; 0.571; 0.672
4638.0; 166.542; 0.352; 0.544; 0.648
4641.0; 166.638; 0.351; 0.519; 0.626
4644.0; 166.735; 0.349; 0.494; 0.605
4647.0; 166.832; 0.348; 0.471; 0.585
4650.0; 166.928; 0.346; 0.448; 0.566
4653.0; 167.024; 0.345; 0.427; 0.549
4656.0; 167.121; 0.343; 0.407; 0.532
4659.0; 167.217; 0.342; 0.387; 0.517
4662.0; 167.313; 0.340; 0.369; 0.502
4665.0; 167.409; 0.339; 0.352; 0.488
4668.0; 167.505; 0.337; 0.335; 0.475
4671.0; 167.600; 0.336; 0.319; 0.463
4674.0; 167.696; 0.334; 0.304; 0.452
4677.0; 167.791; 0.333; 0.289; 0.441
4680.0; 167.887; 0.331; 0.275; 0.431
4683.0; 167.982; 0.330; 0.262; 0.421
4686.0; 168.077; 0.328; 0.250; 0.412
4689.0; 168.173; 0.327; 0.238; 0.404
4692.0; 168.268; 0.325; 0.226; 0.396
4695.0; 168.363; 0.324; 0.216; 0.389
4698.0; 168.457; 0.322; 0.205; 0.382
4701.0; 168.552; 0.321; 0.195; 0.376
4704.0; 168.647; 0.319; 0.186; 0.370
4707.0; 168.741; 0.318; 0.177; 0.364
4710.0; 168.836; 0.317; 0.169; 0.359
4713.0; 168.930; 0.315; 0.160; 0.354
4716.0; 169.025; 0.314; 0.153; 0.349
4719.0; 169.119; 0.312; 0.145; 0.344
4722.0; 169.213; 0.311; 0.138; 0.340
4725.0; 169.307; 0.309; 0.132; 0.336
4728.0; 169.401; 0.308; 0.125; 0.333
4731.0; 169.495; 0.307; 0.119; 0.329
4734.0; 169.589; 0.305; 0.114; 0.326
4737.0; 169.682; 0.304; 0.108; 0.322
4740.0; 169.776; 0.302; 0.103; 0.319
4743.0; 169.870; 0.301; 0.098; 0.316
4746.0; 169.963; 0.300; 0.093; 0.314
4749.0; 170.056; 0.298; 0.089; 0.311
4752.0; 170.150; 0.297; 0.084; 0.309
4755.0; 170.243; 0.296; 0.080; 0.306
4758.0; 170.336; 0.294; 0.076; 0.304
4761.0; 170.429; 0.293; 0.072; 0.302
4764.0; 170.522; 0.291; 0.069; 0.300
4767.0; 170.615; 0.290; 0.066; 0.297
4770.0; 170.708; 0.289; 0.062; 0.295
4773.0; 170.801; 0.287; 0.059; 0.294
4776.0; 170.893; 0.286; 0.056; 0.292
4779.0; 170.986; 0.285; 0.054; 0.290
4782.0; 171.078; 0.284; 0.051; 0.288
4785.0; 171.171; 0.282; 0.048; 0.286
4788.0; 171.263; 0.281; 0.046; 0.285
4791.0; 171.355; 0.280; 0.044; 0.283
4794.0; 171.448; 0.278; 0.042; 0.281
4797.0; 171.540; 0.277; 0.039; 0.280
4800.0; 171.632; 0.276; 0.037; 0.278
4803.0; 171.724; 0.275; 0.036; 0.277
4806.0; 171.816; 0.273; 0.034; 0.275
4809.0; 171.908; 0.272; 0.032; 0.274
4812.0; 172.000; 0.271; 0.030; 0.272
4815.0; 172.091; 0.270; 0.029; 0.271
4818.0; 172.183; 0.268; 0.027; 0.270
4821.0; 172.274; 0.267; 0.026; 0.268
4824.0; 172.366; 0.266; 0.025; 0.267
4827.0; 172.457; 0.265; 0.024; 0.266
4830.0; 172.549; 0.263; 0.022; 0.264
4833.0; 172.640; 0.262; 0.021; 0.263
4836.0; 172.731; 0.261; 0.020; 0.262
4839.0; 172.823; 0.260; 0.019; 0.260
4842.0; 172.914; 0.259; 0.018; 0.259
4845.0; 173.005; 0.257; 0.017; 0.258
4848.0; 173.096; 0.256; 0.016; 0.257
4851.0; 173.187; 0.255; 0.015; 0.255
4854.0; 173.278; 0.254; 0.015; 0.254
4857.0; 173.368; 0.253; 0.014; 0.253
4860.0; 173.459; 0.252; 0.013; 0.252
4863.0; 173.550; 0.250; 0.012; 0.251
4866.0; 173.640; 0.249; 0.012; 0.249
4869.0; 173.731; 0.248; 0.011; 0.248
4872.0; 173.821; 0.247; 0.011; 0.247
4875.0; 173.912; 0.246; 0.010; 0.246
4878.0; 174.002; 0.245; 0.009; 0.245
4881.0; 174.093; 0.244; 0.009; 0.244
4884.0; 174.183; 0.242; 0.009; 0.243
4887.0; 174.273; 0.241; 0.008; 0.241
4890.0; 174.363; 0.240; 0.008; 0.240
4893.0; 174.453; 0.239; 0.007; 0.239
4896.0; 174.543; 0.238; 0.007; 0.238
4899.0; 174.633; 0.237; 0.006; 0.237
4902.0; 174.723; 0.236; 0.006; 0.236
4905.0; 174.813; 0.235; 0.006; 0.235
4908.0; 174.903; 0.234; 0.005; 0.234
4911.0; 174.992; 0.233; 0.005; 0.233
4914.0; 175.082; 0.231; 0.005; 0.232
4917.0; 175.172; 0.230; 0.005; 0.230
4920.0; 175.261; 0.229; 0.004; 0.229
4923.0; 175.351; 0.228; 0.004; 0.228
4926.0; 175.440; 0.227; 0.004; 0.227
4929.0; 175.530; 0.226; 0.004; 0.226
4932.0; 175.619; 0.225; 0.003; 0.225
4935.0; 175.708; 0.224; 0.003; 0.224
4938.0; 175.797; 0.223; 0.003; 0.223
4941.0; 175.887; 0.222; 0.003; 0.222
4944.0; 175.976; 0.221; 0.003; 0.221
4947.0; 176.065; 0.220; 0.003; 0.220
4950.0; 176.154; 0.219; 0.002; 0.219
4953.0; 176.243; 0.218; 0.002; 0.218
4956.0; 176.332; 0.217; 0.002; 0.217
4959.0; 176.421; 0.216; 0.002; 0.216
4962.0; 176.509; 0.215; 0.002; 0.215
4965.0; 176.598; 0.214; 0.002; 0.214
4968.0; 176.687; 0.213; 0.002; 0.213
4971.0; 176.776; 0.212; 0.002; 0.212
4974.0; 176.864; 0.211; 0.002; 0.211
4977.0; 176.953; 0.210; 0.002; 0.210
4980.0; 177.041; 0.209; 0.001; 0.209
4983.0; 177.130; 0.208; 0.001; 0.208
4986.0; 177.218; 0.207; 0.001; 0.207
4989.0; 177.307; 0.206; 0.001; 0.206
4992.0; 177.395; 0.205; 0.001; 0.205
4995.0; 177.483; 0.204; 0.001; 0.204
4998.0; 177.571; 0.203; 0.001; 0.203
5001.0; 177.660; 0.203; 0.001; 0.203
5004.0; 177.748; 0.202; 0.001; 0.202
5007.0; 177.836; 0.201; 0.001; 0.201
5010.0; 177.924; 0.200; 0.001; 0.200
5013.0; 178.012; 0.199; 0.001; 0.199
5016.0; 178.100; 0.198; 0.001; 0.198
5019.0; 178.188; 0.197; 0.001; 0.197
5022.0; 178.276; 0.196; 0.001; 0.196
5025.0; 178.364; 0.195; 0.001; 0.195
5028.0; 178.451; 0.194; 0.001; 0.194
5031.0; 178.539; 0.193; 0.001; 0.193
5034.0; 178.627; 0.193; 0.001; 0.193
5037.0; 178.714; 0.192; 0.001; 0.192
5040.0; 178.802; 0.191; 0.001; 0.191
5043.0; 178.890; 0.190; 0.001; 0.190
5046.0; 178.977; 0.189; 0.001; 0.189
5049.0; 179.065; 0.188; 0.000; 0.188
5052.0; 179.152; 0.187; 0.000; 0.187
5055.0; 179.239; 0.186; -0.000; 0.186
5058.0; 179.327; 0.186; -0.001; 0.186
5061.0; 179.414; 0.185; -0.001; 0.185
5064.0; 179.501; 0.184; -0.002; 0.184
5067.0; 179.589; 0.183; -0.003; 0.183
5070.0; 179.676; 0.182; -0.004; 0.182
5073.0; 179.763; 0.181; -0.006; 0.181
5076.0; 179.850; 0.180; -0.008; 0.181
5079.0; 179.937; 0.180; -0.011; 0.180
5082.0; 180.024; 0.179; -0.014; 0.179
5085.0; 180.111; 0.178; -0.018; 0.179
5088.0; 180.198; 0.177; -0.023; 0.179
5091.0; 180.285; 0.176; -0.030; 0.179
5094.0; 180.372; 0.176; -0.037; 0.179
5097.0; 180.459; 0.175; -0.046; 0.181
5100.0; 180.546; 0.174; -0.057; 0.183
5103.0; 180.632; 0.173; -0.070; 0.187
5106.0; 180.719; 0.172; -0.086; 0.192
5109.0; 180.806; 0.171; -0.104; 0.200
5112.0; 180.892; 0.171; -0.125; 0.212
5115.0; 180.979; 0.170; -0.150; 0.226
5118.0; 181.066; 0.169; -0.178; 0.246
5121.0; 181.152; 0.168; -0.210; 0.269
5124.0; 181.239; 0.167; -0.247; 0.299
5127.0; 181.325; 0.166; -0.288; 0.333
5130.0; 181.412; 0.166; -0.334; 0.373
5133.0; 181.498; 0.165; -0.384; 0.417
5136.0; 181.584; 0.164; -0.437; 0.467
5139.0; 181.671; 0.163; -0.494; 0.520
5142.0; 181.757; 0.162; -0.553; 0.576
5145.0; 181.843; 0.161; -0.612; 0.633
5148.0; 181.930; 0.159; -0.670; 0.689
5151.0; 182.016; 0.158; -0.725; 0.742
5154.0; 182.102; 0.157; -0.772; 0.788
5157.0; 182.188; 0.156; -0.809; 0.824
5160.0; 182.274; 0.155; -0.831; 0.846
5163.0; 182.361; 0.155; -0.834; 0.848
5166.0; 182.447; 0.154; -0.811; 0.825
5169.0; 182.533; -1.595; -0.759; 1.766
5172.0; 182.620; -5.057; -0.664; 5.100
5175.0; 182.708; -8.632; -0.523; 8.648
5178.0; 182.799; -10.659; -0.336; 10.665
5181.0; 182.892; -10.609; -0.136; 10.610
5184.0; 182.989; -10.536; 0.000; 10.536
5187.0; 183.089; -10.328; 0.300; 10.332
5190.0; 183.192; -9.993; 0.898; 10.034
5193.0; 183.299; -9.429; 1.860; 9.610
5196.0; 183.410; -8.466; 3.234; 9.063
