# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
306.0; 9.304; 0.00000; 1000.0; -0.0; 0.1
309.0; 9.392; 0.00000; 1000.0; -0.0; 0.1
312.0; 9.480; 0.00000; 1000.0; -0.0; 0.1
315.0; 9.568; 0.00000; 1000.0; -0.0; 0.1
318.0; 9.656; 0.00000; 1000.0; -0.0; 0.1
321.0; 9.744; 0.00000; 1000.0; -0.0; 0.1
324.0; 9.832; 0.00000; 1000.0; -0.0; 0.1
327.0; 9.920; 0.00001; 1000.0; -0.0; 0.1
330.0; 10.008; 0.00001; 1000.0; -0.0; 0.1
333.0; 10.096; 0.00001; 1000.0; -0.0; 0.1
336.0; 10.184; 0.00001; 1000.0; -0.0; 0.1
339.0; 10.271; 0.00001; 1000.0; -0.0; 0.1
342.0; 10.359; 0.00001; 1000.0; -0.0; 0.1
345.0; 10.447; 0.00001; 1000.0; -0.0; 0.1
348.0; 10.534; 0.00001; 1000.0; -0.0; 0.2
351.0; 10.622; 0.00001; 1000.0; -0.0; 0.2
354.0; 10.709; 0.00001; 1000.0; -0.0; 0.2
357.0; 10.797; 0.00001; 1000.0; -0.0; 0.2
360.0; 10.884; 0.00001; 1000.0; -0.0; 0.2
363.0; 10.972; 0.00001; 1000.0; -0.0; 0.2
366.0; 11.059; 0.00001; 1000.0; -0.0; 0.2
369.0; 11.146; 0.00002; 1000.0; -0.0; 0.3
372.0; 11.234; 0.00002; 1000.0; -0.0; 0.3
375.0; 11.321; 0.00002; 1000.0; -0.0; 0.3
378.0; 11.408; 0.00002; 1000.0; -0.0; 0.3
381.0; 11.495; 0.00002; 1000.0; -0.0; 0.4
384.0; 11.582; 0.00002; 1000.0; -0.0; 0.4
387.0; 11.669; 0.00003; 1000.0; -0.0; 0.4
390.0; 11.756; 0.00003; 1000.0; -0.0; 0.5
393.0; 11.843; 0.00003; 1000.0; -0.0; 0.5
396.0; 11.930; 0.00003; 1000.0; -0.0; 0.6
399.0; 12.017; 0.00004; 1000.0; -0.0; 0.6
402.0; 12.104; 0.00004; 1000.0; -0.0; 0.7
405.0; 12.191; 0.00004; 1000.0; -0.0; 0.8
408.0; 12.278; 0.00005; 1000.0; -0.0; 0.9
411.0; 12.365; 0.00005; 1000.0; -0.0; 1.0
414.0; 12.451; 0.00006; 1000.0; -0.0; 1.1
417.0; 12.538; 0.00007; 1000.0; -0.0; 1.2
420.0; 12.625; 0.00007; 1000.0; -0.0; 1.3
423.0; 12.711; 0.00008; 1000.0; -0.0; 1.5
426.0; 12.798; 0.00009; 1000.0; -0.0; 1.6
429.0; 12.885; 0.00010; 1000.0; -0.0; 1.8
432.0; 12.971; 0.00011; 1000.0; -0.0; 2.0
435.0; 13.058; 0.00013; 1000.0; -0.0; 2.3
438.0; 13.144; 0.00014; 1000.0; -0.0; 2.6
441.0; 13.231; 0.00016; 1000.0; -0.0; 2.9
444.0; 13.317; 0.00019; 1000.0; -0.0; 3.3
447.0; 13.403; 0.00021; 1000.0; -0.0; 3.8
450.0; 13.490; 0.00024; 1000.0; -0.0; 4.3
453.0; 13.576; 0.00027; 1000.0; -0.0; 4.9
456.0; 13.662; 0.00031; 1000.0; -0.0; 5.6
459.0; 13.748; 0.00035; 1000.0; -0.0; 6.4
462.0; 13.835; 0.00041; 1000.0; -0.0; 7.3
465.0; 13.921; 0.00047; 1000.0; -0.0; 8.3
468.0; 14.007; 0.00053; 1000.0; -0.0; 9.6
471.0; 14.093; 0.00061; 1000.0; -0.0; 11.0
