# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
1476.0; 46.992; 34.15; 0.00000; -0.00045; 0.74284; 0.01165
1479.0; 47.080; 34.17; 0.00000; -0.00043; 0.77787; 0.01170
1482.0; 47.167; 34.19; 0.00000; -0.00041; 0.81303; 0.01174
1485.0; 47.255; 34.20; 0.00000; -0.00040; 0.84830; 0.01178
1488.0; 47.343; 34.22; 0.00000; -0.00038; 0.88370; 0.01182
1491.0; 47.430; 34.24; 0.00000; -0.00036; 0.91923; 0.01186
1494.0; 47.518; 34.25; 0.00000; -0.00035; 0.95487; 0.01190
1497.0; 47.606; 34.27; 0.00000; -0.00033; 0.99063; 0.01194
1500.0; 47.693; 34.29; 0.00000; -0.00032; 1.02651; 0.01198
1503.0; 47.781; 34.30; 0.00000; -0.00031; 1.06250; 0.01202
1506.0; 47.868; 34.32; 0.00000; -0.00029; 1.09861; 0.01205
1509.0; 47.956; 34.34; 0.00000; -0.00028; 1.13483; 0.01209
1512.0; 48.043; 34.35; 0.00000; -0.00027; 1.17116; 0.01213
1515.0; 48.130; 34.37; 0.00000; -0.00026; 1.20760; 0.01216
1518.0; 48.217; 34.38; 0.00000; -0.00025; 1.24414; 0.01220
1521.0; 48.305; 34.40; 0.00000; -0.00024; 1.28079; 0.01223
1524.0; 48.392; 34.42; 0.00000; -0.00023; 1.31754; 0.01226
1527.0; 48.479; 34.43; 0.00000; -0.00022; 1.35438; 0.01230
1530.0; 48.566; 34.45; 0.00000; -0.00021; 1.39132; 0.01233
1533.0; 48.653; 34.46; 0.00000; -0.00020; 1.42836; 0.01236
1536.0; 48.740; 34.48; 0.00000; -0.00019; 1.46548; 0.01239
1539.0; 48.827; 34.49; 0.00000; -0.00018; 1.50269; 0.01241
1542.0; 48.914; 34.51; 0.00000; -0.00017; 1.53998; 0.01244
1545.0; 49.001; 34.53; 0.00000; -0.00017; 1.57735; 0.01247
1548.0; 49.088; 34.54; 0.00000; -0.00016; 1.61479; 0.01249
1551.0; 49.175; 34.56; 0.00000; -0.00015; 1.65231; 0.01252
1554.0; 49.262; 34.57; 0.00000; -0.00015; 1.68990; 0.01254
1557.0; 49.348; 34.59; 0.00000; -0.00014; 1.72755; 0.01256
1560.0; 49.435; 34.60; 0.00000; -0.00013; 1.76526; 0.01258
1563.0; 49.522; 34.62; 0.00000; -0.00013; 1.80303; 0.01260
1566.0; 49.609; 34.63; 0.00000; -0.00012; 1.84086; 0.01262
1569.0; 49.695; 34.65; 0.00000; -0.00012; 1.87873; 0.01263
1572.0; 49.782; 34.66; 0.00000; -0.00011; 1.91665; 0.01265
1575.0; 49.868; 34.67; 0.00000; -0.00011; 1.95461; 0.01266
1578.0; 49.955; 34.69; 0.00000; -0.00010; 1.99261; 0.01267
1581.0; 50.041; 34.70; 0.00000; -0.00010; 2.03065; 0.01268
1584.0; 50.128; 34.72; 0.00000; -0.00009; 2.06871; 0.01269
1587.0; 50.214; 34.73; 0.00000; -0.00009; 2.10680; 0.01270
1590.0; 50.300; 34.75; 0.00000; -0.00009; 2.14491; 0.01271
1593.0; 50.387; 34.76; 0.00000; -0.00008; 2.18304; 0.01271
1596.0; 50.473; 34.77; 0.00000; -0.00008; 2.22118; 0.01271
1599.0; 50.559; 34.79; 0.00000; -0.00007; 2.25933; 0.01272
1602.0; 50.646; 34.80; 0.00000; -0.00007; 2.29748; 0.01272
1605.0; 50.732; 34.82; 0.00000; -0.00007; 2.33562; 0.01271
1608.0; 50.818; 34.83; 0.00000; -0.00007; 2.37377; 0.01271
1611.0; 50.904; 34.84; 0.00000; -0.00006; 2.41190; 0.01271
1614.0; 50.990; 34.86; 0.00000; -0.00006; 2.45002; 0.01270
1617.0; 51.076; 34.87; 0.00000; -0.00006; 2.48812; 0.01270
1620.0; 51.162; 34.88; 0.00000; -0.00005; 2.52620; 0.01269
1623.0; 51.248; 34.90; 0.00000; -0.00005; 2.56424; 0.01268
1626.0; 51.334; 34.91; 0.00000; -0.00005; 2.60226; 0.01266
1629.0; 51.420; 34.93; 0.00000; -0.00005; 2.64023; 0.01265
1632.0; 51.506; 34.94; 0.00000; -0.00005; 2.67815; 0.01263
1635.0; 51.592; 34.95; 0.00000; -0.00004; 2.71600; 0.01260
1638.0; 51.678; 34.96; 0.00000; -0.00004; 2.75375; 0.01256
1641.0; 51.763; 34.98; 0.00000; -0.00004; 2.79137; 0.01251
1644.0; 51.849; 34.99; 0.00000; -0.00004; 2.82883; 0.01246
1647.0; 51.935; 35.00; 0.00000; -0.00004; 2.86609; 0.01239
1650.0; 52.021; 35.02; 0.00000; -0.00003; 2.90314; 0.01231
1653.0; 52.106; 35.03; 0.00000; -0.00003; 2.93993; 0.01222
1656.0; 52.192; 35.04; 0.00000; -0.00003; 2.97643; 0.01212
1659.0; 52.277; 35.05; 0.00000; -0.00003; 3.01262; 0.01201
1662.0; 52.363; 35.07; 0.00000; -0.00003; 3.04846; 0.01189
1665.0; 52.449; 35.08; 0.00000; -0.00003; 3.08392; 0.01176
1668.0; 52.534; 35.09; 0.00000; -0.00003; 3.11897; 0.01161
1671.0; 52.620; 35.10; 0.00000; -0.00002; 3.15359; 0.01146
1674.0; 52.705; 35.12; 0.00000; -0.00002; 3.18773; 0.01130
1677.0; 52.790; 35.13; 0.00000; -0.00002; 3.22137; 0.01113
1680.0; 52.876; 35.14; 0.00000; -0.00002; 3.25448; 0.01095
1683.0; 52.961; 35.15; 0.00000; -0.00002; 3.28702; 0.01075
1686.0; 53.046; 35.17; 0.00000; -0.00002; 3.31897; 0.01055
1689.0; 53.132; 35.18; 0.00000; -0.00002; 3.35030; 0.01034
1692.0; 53.217; 35.19; 0.00000; -0.00002; 3.38096; 0.01011
1695.0; 53.302; 35.20; 0.00000; -0.00002; 3.41094; 0.00988
1698.0; 53.387; 35.21; 0.00000; -0.00002; 3.44020; 0.00963
1701.0; 53.472; 35.23; 0.00000; -0.00001; 3.46871; 0.00938
1704.0; 53.558; 35.24; 0.00000; -0.00001; 3.49643; 0.00911
1707.0; 53.643; 35.25; 0.00000; -0.00001; 3.52334; 0.00883
1710.0; 53.728; 35.26; 0.00000; -0.00001; 3.54941; 0.00855
1713.0; 53.813; 35.27; 0.00000; -0.00001; 3.57461; 0.00825
1716.0; 53.898; 35.28; 0.00000; -0.00001; 3.59890; 0.00794
1719.0; 53.983; 35.30; 0.00000; -0.00001; 3.62225; 0.00763
1722.0; 54.068; 35.31; 0.00000; -0.00001; 3.64463; 0.00730
1725.0; 54.153; 35.32; 0.00000; -0.00001; 3.66601; 0.00696
1728.0; 54.238; 35.33; 0.00000; -0.00001; 3.68637; 0.00661
1731.0; 54.322; 35.34; 0.00000; -0.00001; 3.70566; 0.00625
1734.0; 54.407; 35.35; 0.00000; -0.00001; 3.72385; 0.00588
1737.0; 54.492; 35.36; 0.00000; -0.00001; 3.74093; 0.00550
1740.0; 54.577; 35.37; 0.00000; -0.00001; 3.75685; 0.00511
1743.0; 54.662; 35.39; 0.00000; -0.00001; 3.77158; 0.00471
1746.0; 54.746; 35.40; 0.00000; -0.00001; 3.78509; 0.00430
1749.0; 54.831; 35.41; 0.00000; -0.00001; 3.79736; 0.00388
1752.0; 54.916; 35.42; 0.00000; -0.00001; 3.80834; 0.00345
1755.0; 55.000; 35.43; 0.00000; -0.00000; 3.81802; 0.00300
1758.0; 55.085; 35.44; 0.00000; -0.00000; 3.82635; 0.00255
1761.0; 55.170; 35.45; 0.00000; -0.00000; 3.83331; 0.00209
1764.0; 55.254; 35.46; 0.00000; -0.00000; 3.83886; 0.00161
1767.0; 55.339; 35.47; 0.00000; -0.00000; 3.84298; 0.00113
1770.0; 55.423; 35.48; 0.00000; -0.00000; 3.84563; 0.00064
1773.0; 55.508; 35.49; 0.00000; -0.00000; 3.84678; 0.00013
1776.0; 55.592; 35.50; 0.00000; -0.00000; 3.84640; -0.00038
1779.0; 55.677; 35.51; 0.00000; -0.00000; 3.84446; -0.00091
1782.0; 55.761; 35.52; 0.00000; -0.00000; 3.84093; -0.00145
1785.0; 55.845; 35.53; 0.00000; -0.00000; 3.83578; -0.00199
1788.0; 55.930; 35.54; 0.00000; -0.00000; 3.82897; -0.00255
1791.0; 56.014; 35.56; 0.00000; -0.00000; 3.82048; -0.00312
1794.0; 56.098; 35.57; 0.00000; -0.00000; 3.81026; -0.00370
1797.0; 56.183; 35.58; 0.00000; -0.00000; 3.79831; -0.00428
1800.0; 56.267; 35.59; 0.00000; -0.00000; 3.78457; -0.00488
1803.0; 56.351; 35.60; 0.00000; -0.00000; 3.76902; -0.00549
1806.0; 56.435; 35.61; 0.00000; -0.00000; 3.75163; -0.00611
1809.0; 56.519; 35.62; 0.00000; -0.00000; 3.73236; -0.00674
1812.0; 56.604; 35.63; 0.00000; -0.00000; 3.71122; -0.00737
1815.0; 56.688; 35.63; 0.00000; -0.00000; 3.68820; -0.00798
1818.0; 56.772; 35.64; 0.00000; -0.00000; 3.66337; -0.00858
1821.0; 56.856; 35.65; 0.00000; -0.00000; 3.63678; -0.00915
1824.0; 56.940; 35.66; 0.00000; -0.00000; 3.60852; -0.00970
1827.0; 57.024; 35.67; 0.00000; 0.00000; 3.57864; -0.01022
1830.0; 57.108; 35.68; 0.00000; 0.00000; 3.54723; -0.01073
1833.0; 57.192; 35.69; 0.00000; 0.00000; 3.51434; -0.01120
1836.0; 57.276; 35.70; 0.00000; 0.00000; 3.48006; -0.01166
1839.0; 57.360; 35.71; -0.00000; 0.00000; 3.44444; -0.01209
1842.0; 57.444; 35.72; -0.00000; 0.00000; 3.40757; -0.01250
1845.0; 57.528; 35.73; -0.00000; 0.00000; 3.36951; -0.01288
1848.0; 57.612; 35.74; -0.00000; 0.00000; 3.33033; -0.01324
1851.0; 57.696; 35.75; -0.00000; 0.00000; 3.29010; -0.01358
1854.0; 57.780; 35.76; -0.00000; 0.00000; 3.24889; -0.01389
1857.0; 57.864; 35.77; -0.00000; 0.00000; 3.20677; -0.01419
1860.0; 57.947; 35.78; -0.00000; 0.00000; 3.16382; -0.01445
1863.0; 58.031; 35.79; -0.00000; 0.00000; 3.12010; -0.01470
1866.0; 58.115; 35.79; -0.00000; 0.00000; 3.07569; -0.01492
1869.0; 58.199; 35.80; -0.00000; 0.00000; 3.03064; -0.01511
1872.0; 58.283; 35.81; -0.00000; 0.00000; 2.98504; -0.01529
1875.0; 58.366; 35.82; -0.00000; 0.00000; 2.93896; -0.01544
1878.0; 58.450; 35.83; -0.00000; 0.00000; 2.89246; -0.01556
1881.0; 58.534; 35.84; -0.00000; 0.00000; 2.84561; -0.01566
1884.0; 58.618; 35.85; -0.00000; 0.00000; 2.79849; -0.01574
1887.0; 58.701; 35.86; -0.00000; 0.00000; 2.75117; -0.01580
1890.0; 58.785; 35.87; -0.00000; 0.00000; 2.70371; -0.01583
1893.0; 58.869; 35.87; -0.00000; 0.00000; 2.65619; -0.01584
1896.0; 58.952; 35.88; -0.00000; 0.00000; 2.60867; -0.01583
1899.0; 59.036; 35.89; -0.00000; 0.00000; 2.56123; -0.01579
1902.0; 59.119; 35.90; -0.00000; 0.00000; 2.51394; -0.01573
1905.0; 59.203; 35.91; -0.00000; 0.00000; 2.46687; -0.01564
1908.0; 59.287; 35.92; -0.00000; 0.00000; 2.42008; -0.01554
1911.0; 59.370; 35.93; -0.00000; 0.00000; 2.37366; -0.01540
1914.0; 59.454; 35.93; -0.00000; 0.00000; 2.32766; -0.01525
1917.0; 59.537; 35.94; -0.00000; 0.00000; 2.28216; -0.01507
1920.0; 59.621; 35.95; -0.00000; 0.00000; 2.23723; -0.01487
1923.0; 59.704; 35.96; -0.00000; 0.00000; 2.19294; -0.01464
1926.0; 59.787; 35.97; -0.00000; 0.00000; 2.14937; -0.01440
1929.0; 59.871; 35.97; -0.00000; 0.00000; 2.10657; -0.01412
1932.0; 59.954; 35.98; -0.00000; 0.00000; 2.06463; -0.01383
1935.0; 60.038; 35.99; -0.00000; 0.00000; 2.02360; -0.01351
1938.0; 60.121; 36.00; -0.00000; 0.00000; 1.98357; -0.01317
1941.0; 60.204; 36.01; -0.00000; 0.00000; 1.94460; -0.01280
1944.0; 60.288; 36.02; -0.00000; 0.00000; 1.90677; -0.01241
1947.0; 60.371; 36.02; -0.00000; 0.00000; 1.87013; -0.01200
1950.0; 60.454; 36.03; -0.00000; 0.00000; 1.83478; -0.01156
1953.0; 60.538; 36.04; -0.00000; 0.00000; 1.80076; -0.01110
1956.0; 60.621; 36.05; -0.00000; 0.00000; 1.76816; -0.01062
1959.0; 60.704; 36.05; -0.00000; 0.00000; 1.73705; -0.01011
1962.0; 60.787; 36.06; -0.00000; 0.00000; 1.70749; -0.00958
1965.0; 60.871; 36.07; -0.00000; 0.00000; 1.67956; -0.00903
1968.0; 60.954; 36.08; -0.00000; 0.00000; 1.65332; -0.00845
1971.0; 61.037; 36.09; -0.00000; 0.00000; 1.62885; -0.00785
1974.0; 61.120; 36.09; -0.00000; 0.00000; 1.60622; -0.00723
1977.0; 61.203; 36.10; -0.00000; 0.00000; 1.58549; -0.00658
1980.0; 61.286; 36.11; -0.00000; 0.00000; 1.56675; -0.00591
1983.0; 61.369; 36.12; -0.00000; 0.00000; 1.55005; -0.00521
1986.0; 61.453; 36.12; -0.00000; 0.00000; 1.53547; -0.00450
1989.0; 61.536; 36.13; -0.00000; 0.00000; 1.52308; -0.00376
1992.0; 61.619; 36.14; -0.00000; 0.00000; 1.51293; -0.00301
1995.0; 61.702; 36.14; -0.00000; 0.00001; 1.50502; -0.00227
1998.0; 61.785; 36.15; -0.00000; 0.00001; 1.49928; -0.00157
2001.0; 61.868; 36.16; -0.00000; 0.00001; 1.49558; -0.00091
2004.0; 61.951; 36.17; -0.00000; 0.00001; 1.49380; -0.00029
2007.0; 62.034; 36.17; -0.00000; 0.00002; 1.49379; 0.00028
2010.0; 62.117; 36.18; -0.00000; 0.00002; 1.49544; 0.00081
2013.0; 62.200; 36.19; -0.00000; 0.00003; 1.49860; 0.00129
2016.0; 62.283; 36.20; -0.00000; 0.00004; 1.50314; 0.00173
2019.0; 62.365; 36.20; -0.00000; 0.00005; 1.50894; 0.00213
2022.0; 62.448; 36.21; -0.00000; 0.00007; 1.51586; 0.00248
2025.0; 62.531; 36.22; -0.00000; 0.00009; 1.52377; 0.00279
2028.0; 62.614; 36.22; -0.00000; 0.00011; 1.53255; 0.00306
2031.0; 62.697; 36.23; -0.00000; 0.00014; 1.54207; 0.00328
2034.0; 62.780; 36.24; -0.00000; 0.00018; 1.55219; 0.00346
2037.0; 62.862; 36.24; -0.00000; 0.00023; 1.56281; 0.00361
2040.0; 62.945; 36.25; -0.00000; 0.00028; 1.57379; 0.00371
2043.0; 63.028; 36.26; -0.00000; 0.00036; 1.58501; 0.00377
2046.0; 63.111; 36.26; -0.00000; 0.00044; 1.59637; 0.00380
2049.0; 63.193; 36.27; -0.00000; 0.00055; 1.60776; 0.00379
2052.0; 63.276; 36.28; -0.00000; 0.00068; 1.61905; 0.00374
2055.0; 63.359; 36.28; -0.00000; 0.00083; 1.63016; 0.00367
2058.0; 63.441; 36.29; -0.00000; 0.00102; 1.64100; 0.00356
2061.0; 63.524; 36.30; -0.00001; 0.00124; 1.65146; 0.00342
2064.0; 63.607; 36.30; -0.00001; 0.00150; 1.66149; 0.00327
2067.0; 63.689; 36.31; -0.00001; 0.00181; 1.67100; 0.00309
2070.0; 63.772; 36.32; -0.00001; 0.00217; 1.67996; 0.00289
2073.0; 63.854; 36.32; -0.00001; 0.00259; 1.68830; 0.00269
2076.0; 63.937; 36.33; -0.00002; 0.00308; 1.69602; 0.00248
2079.0; 64.020; 36.34; -0.00002; 0.00364; 1.70309; 0.00227
2082.0; 64.102; 36.34; -0.00002; 0.00428; 1.70954; 0.00208
2085.0; 64.185; 36.35; -0.00003; 0.00501; 1.71547; 0.00193
2088.0; 64.267; 36.36; -0.00004; 0.00582; 1.72108; 0.00188
2091.0; 64.350; 36.36; -0.00004; 0.00673; 1.72670; 0.00195
2094.0; 64.432; 36.37; -0.00005; 0.00772; 1.73270; 0.00215
2097.0; 64.515; 36.37; -0.00006; 0.00881; 1.73947; 0.00248
2100.0; 64.597; 36.38; -0.00007; 0.00996; 1.74741; 0.00296
2103.0; 64.679; 36.39; -0.00008; 0.01117; 1.75698; 0.00358
2106.0; 64.762; 36.39; -0.00009; 0.01242; 1.76860; 0.00435
2109.0; 64.844; 36.40; -0.00010; 0.01368; 1.78273; 0.00528
2112.0; 64.927; 36.40; -0.00012; 0.01489; 1.79982; 0.00635
2115.0; 65.009; 36.41; -0.00013; 0.01601; 1.82031; 0.00757
2118.0; 65.091; 36.42; -0.00015; 0.01698; 1.84462; 0.00892
2121.0; 65.174; 36.42; -0.00016; 0.01771; 1.87310; 0.01039
2124.0; 65.256; 36.43; -0.00018; 0.01812; 1.90608; 0.01194
2127.0; 65.339; 36.43; -0.00019; 0.01810; 1.94377; 0.01356
2130.0; 65.421; 36.44; -0.00020; 0.01754; 1.98629; 0.01518
2133.0; 65.503; 36.44; -0.00021; 0.01632; 2.03363; 0.01678
2136.0; 65.586; 36.23; -0.00022; 0.01449; 2.08559; 0.01829
2139.0; 65.669; 35.72; -0.00023; 0.01163; 2.14183; 0.01965
2142.0; 65.754; 34.91; -0.00022; 0.00774; 2.20180; 0.02077
2145.0; 65.841; 33.96; -0.00019; 0.00303; 2.26473; 0.02157
2148.0; 65.931; 32.99; -0.00013; -0.00052; 2.32975; 0.02207
2151.0; 66.024; 32.00; -0.00005; -0.00057; 2.39643; 0.02253
2154.0; 66.119; 30.99; -0.00001; -0.00015; 2.46478; 0.02307
2157.0; 66.217; 29.95; -0.00000; -0.00003; 2.53491; 0.02368
2160.0; 66.319; 28.90; -0.00000; -0.00001; 2.60697; 0.02434
2163.0; 66.425; 27.81; -0.00000; -0.00000; 2.68109; 0.02505
2166.0; 66.536; 26.69; -0.00000; -0.00000; 2.75744; 0.02581
2169.0; 66.651; 25.53; -0.00000; 0.00000; 2.83614; 0.02661
2172.0; 66.771; 24.34; 0.00000; 0.00000; 2.91715; 0.02731
2175.0; 66.898; 23.09; -0.00000; -0.00000; 2.99961; 0.02751
2178.0; 67.031; 21.80; -0.00020; -0.00322; 3.08032; 0.02636
2181.0; 67.173; 20.46; -0.00180; -0.02471; 3.14865; 0.02135
2184.0; 67.324; 19.10; -0.00582; -0.06626; 3.18200; 0.00907
2187.0; 67.486; 17.75; -0.01377; -0.13248; 3.14216; -0.01511
2190.0; 67.661; 16.48; -0.02604; -0.21427; 2.97563; -0.05553
2193.0; 67.850; 15.31; -0.04091; -0.29228; 2.62147; -0.11295
2196.0; 68.058; 14.22; -0.05711; -0.35845; 2.02259; -0.17996
2199.0; 68.290; 13.14; -0.07442; -0.41181; 1.15396; -0.23851
2202.0; 68.547; 12.02; -0.09349; -0.45330; 0.07626; -0.26626
2205.0; 68.809; 11.78; -0.11069; -0.51813; -1.04013; -0.24736
2208.0; 69.053; 11.57; -0.11961; -0.54352; -1.96777; -0.17655
2211.0; 69.276; 11.53; -0.12159; -0.54742; -2.60306; -0.07844
2214.0; 69.485; 11.61; -0.12086; -0.54838; -2.96314; 0.02283
2217.0; 69.688; 11.69; -0.11995; -0.54917; -3.07373; 0.12484
2220.0; 69.891; 11.76; -0.11885; -0.54885; -2.94560; 0.21695
2223.0; 70.108; 11.87; -0.11237; -0.52275; -2.60414; 0.27001
2226.0; 70.340; 12.04; -0.09181; -0.42565; -2.10366; 0.27532
2229.0; 70.584; 12.28; -0.05249; -0.22894; -1.48600; 0.25866
2232.0; 70.834; 12.51; -0.00208; 0.01294; -0.75231; 0.24638
2235.0; 71.082; 12.68; 0.04574; 0.24230; 0.10070; 0.24231
2238.0; 71.325; 12.71; 0.07742; 0.40689; 1.01960; 0.22927
2241.0; 71.557; 12.51; 0.09447; 0.48206; 1.88292; 0.19145
2244.0; 71.773; 12.57; 0.10037; 0.51111; 2.57789; 0.12801
2247.0; 71.973; 12.63; 0.10220; 0.52268; 3.05501; 0.04655
2250.0; 72.161; 12.68; 0.10246; 0.52650; 3.29621; -0.05243
2253.0; 72.342; 12.73; 0.10207; 0.52724; 3.28159; -0.16694
2256.0; 72.526; 12.79; 0.10136; 0.52653; 2.99047; -0.28347
2259.0; 72.722; 12.84; 0.10040; 0.52488; 2.40302; -0.38527
2262.0; 72.938; 12.91; 0.09919; 0.52235; 1.51607; -0.45645
2265.0; 73.175; 12.99; 0.09766; 0.51868; 0.39200; -0.48229
2268.0; 73.424; 13.08; 0.09568; 0.51298; -0.80391; -0.45742
2271.0; 73.672; 13.18; 0.09280; 0.50258; -1.86728; -0.39010
2274.0; 73.910; 13.30; 0.08787; 0.48066; -2.66450; -0.29664
2277.0; 74.137; 13.44; 0.07903; 0.43592; -3.16392; -0.19537
2280.0; 74.358; 13.60; 0.06525; 0.36131; -3.40240; -0.10356
2283.0; 74.575; 13.79; 0.04790; 0.26483; -3.44716; -0.03285
2286.0; 74.789; 13.99; 0.03113; 0.17190; -3.36690; 0.01453
2289.0; 75.002; 14.19; 0.01904; 0.10653; -3.21188; 0.04393
2292.0; 75.212; 14.38; 0.01049; 0.05869; -3.01613; 0.06066
2295.0; 75.419; 14.58; 0.00455; 0.02463; -2.80328; 0.06852
2298.0; 75.624; 14.77; 0.00051; 0.00068; -2.58987; 0.07005
2301.0; 75.827; 14.95; -0.00217; -0.01582; -2.38781; 0.06703
2304.0; 76.027; 15.14; -0.00390; -0.02687; -2.20571; 0.06073
2307.0; 76.224; 15.32; -0.00495; -0.03400; -2.04978; 0.05214
2310.0; 76.419; 15.49; -0.00553; -0.03833; -1.92399; 0.04223
2313.0; 76.612; 15.67; -0.00581; -0.04072; -1.82976; 0.03201
2316.0; 76.803; 15.84; -0.00587; -0.04176; -1.76619; 0.02216
2319.0; 76.992; 16.01; -0.00580; -0.04192; -1.73111; 0.01299
2322.0; 77.178; 16.17; -0.00566; -0.04152; -1.72197; 0.00464
2325.0; 77.363; 16.34; -0.00547; -0.04080; -1.73605; -0.00284
2328.0; 77.545; 16.50; -0.00526; -0.03991; -1.77059; -0.00941
2331.0; 77.726; 16.66; -0.00506; -0.03898; -1.82283; -0.01506
2334.0; 77.905; 16.81; -0.00486; -0.03809; -1.89006; -0.01982
2337.0; 78.083; 16.97; -0.00469; -0.03730; -1.96962; -0.02369
2340.0; 78.258; 17.12; -0.00453; -0.03664; -2.05896; -0.02670
2343.0; 78.432; 17.27; -0.00440; -0.03614; -2.15560; -0.02888
2346.0; 78.605; 17.42; -0.00429; -0.03581; -2.25718; -0.03027
2349.0; 78.776; 17.56; -0.00420; -0.03566; -2.36145; -0.03091
2352.0; 78.945; 17.71; -0.00415; -0.03570; -2.46626; -0.03083
2355.0; 79.113; 17.85; -0.00411; -0.03594; -2.56971; -0.03016
2358.0; 79.279; 17.99; -0.00409; -0.03636; -2.67031; -0.02902
2361.0; 79.445; 18.13; -0.00410; -0.03698; -2.76695; -0.02755
2364.0; 79.608; 18.26; -0.00413; -0.03778; -2.85876; -0.02578
2367.0; 79.771; 18.40; -0.00418; -0.03878; -2.94499; -0.02376
2370.0; 79.932; 18.53; -0.00424; -0.03996; -3.02496; -0.02149
2373.0; 80.092; 18.66; -0.00433; -0.04132; -3.09807; -0.01902
2376.0; 80.250; 18.79; -0.00442; -0.04287; -3.16378; -0.01636
2379.0; 80.408; 18.92; -0.00454; -0.04458; -3.22164; -0.01354
2382.0; 80.564; 19.05; -0.00466; -0.04646; -3.27123; -0.01057
2385.0; 80.719; 19.17; -0.00480; -0.04847; -3.31221; -0.00748
2388.0; 80.873; 19.30; -0.00494; -0.05059; -3.34425; -0.00428
2391.0; 81.026; 19.42; -0.00509; -0.05278; -3.36706; -0.00097
2394.0; 81.178; 19.54; -0.00523; -0.05497; -3.38032; 0.00245
2397.0; 81.329; 19.66; -0.00536; -0.05706; -3.38372; 0.00596
2400.0; 81.479; 19.78; -0.00547; -0.05888; -3.37699; 0.00948
2403.0; 81.629; 19.89; -0.00552; -0.06019; -3.36034; 0.01275
2406.0; 81.777; 20.01; -0.00549; -0.06045; -3.33449; 0.01565
2409.0; 81.925; 20.12; -0.00534; -0.05941; -3.30018; 0.01823
2412.0; 82.072; 20.23; -0.00512; -0.05759; -3.25795; 0.02060
2415.0; 82.218; 20.35; -0.00486; -0.05530; -3.20812; 0.02283
2418.0; 82.363; 20.46; -0.00458; -0.05278; -3.15095; 0.02498
2421.0; 82.508; 20.57; -0.00430; -0.05016; -3.08667; 0.02704
2424.0; 82.652; 20.68; -0.00403; -0.04755; -3.01550; 0.02903
2427.0; 82.796; 20.79; -0.00377; -0.04500; -2.93771; 0.03093
2430.0; 82.939; 20.89; -0.00352; -0.04255; -2.85361; 0.03272
2433.0; 83.081; 21.00; -0.00329; -0.04023; -2.76358; 0.03439
2436.0; 83.223; 21.11; -0.00308; -0.03805; -2.66805; 0.03592
2439.0; 83.364; 21.21; -0.00288; -0.03602; -2.56752; 0.03729
2442.0; 83.504; 21.32; -0.00269; -0.03412; -2.46255; 0.03847
2445.0; 83.644; 21.42; -0.00252; -0.03237; -2.35375; 0.03946
2448.0; 83.783; 21.52; -0.00237; -0.03075; -2.24177; 0.04024
2451.0; 83.922; 21.62; -0.00223; -0.02927; -2.12727; 0.04082
2454.0; 84.060; 21.72; -0.00210; -0.02792; -2.01093; 0.04116
2457.0; 84.198; 21.82; -0.00198; -0.02668; -1.89350; 0.04127
2460.0; 84.335; 21.92; -0.00188; -0.02556; -1.77579; 0.04111
2463.0; 84.471; 22.02; -0.00178; -0.02455; -1.65862; 0.04067
2466.0; 84.607; 22.12; -0.00170; -0.02365; -1.54291; 0.03993
2469.0; 84.742; 22.21; -0.00162; -0.02285; -1.42960; 0.03888
2472.0; 84.877; 22.31; -0.00155; -0.02214; -1.31968; 0.03751
2475.0; 85.011; 22.40; -0.00149; -0.02153; -1.21416; 0.03580
2478.0; 85.145; 22.50; -0.00144; -0.02100; -1.11412; 0.03374
2481.0; 85.278; 22.59; -0.00139; -0.02057; -1.02065; 0.03131
2484.0; 85.411; 22.68; -0.00135; -0.02021; -0.93489; 0.02851
2487.0; 85.543; 22.78; -0.00132; -0.01994; -0.85799; 0.02533
2490.0; 85.674; 22.87; -0.00129; -0.01975; -0.79102; 0.02186
2493.0; 85.805; 22.96; -0.00127; -0.01963; -0.73463; 0.01827
2496.0; 85.936; 23.05; -0.00125; -0.01959; -0.68892; 0.01473
2499.0; 86.066; 23.13; -0.00124; -0.01963; -0.65363; 0.01130
2502.0; 86.195; 23.22; -0.00123; -0.01974; -0.62841; 0.00800
2505.0; 86.324; 23.31; -0.00123; -0.01993; -0.61294; 0.00480
2508.0; 86.452; 23.40; -0.00123; -0.02019; -0.60691; 0.00170
2511.0; 86.580; 23.48; -0.00124; -0.02052; -0.61006; -0.00131
2514.0; 86.708; 23.57; -0.00125; -0.02093; -0.62216; -0.00424
2517.0; 86.835; 23.65; -0.00126; -0.02141; -0.64298; -0.00710
2520.0; 86.962; 23.73; -0.00128; -0.02198; -0.67235; -0.00990
2523.0; 87.088; 23.82; -0.00130; -0.02262; -0.71011; -0.01265
2526.0; 87.214; 23.90; -0.00133; -0.02334; -0.75614; -0.01536
2529.0; 87.339; 23.98; -0.00136; -0.02414; -0.81033; -0.01804
2532.0; 87.464; 24.06; -0.00140; -0.02502; -0.87261; -0.02069
2535.0; 87.588; 24.14; -0.00144; -0.02599; -0.94287; -0.02327
2538.0; 87.712; 24.22; -0.00148; -0.02705; -1.02077; -0.02569
2541.0; 87.836; 24.30; -0.00152; -0.02820; -1.10569; -0.02785
2544.0; 87.959; 24.38; -0.00157; -0.02945; -1.19680; -0.02973
2547.0; 88.082; 24.45; -0.00163; -0.03079; -1.29326; -0.03132
